NAME,SSN,LANGUAGE,JOB,HEIGHT_M,WEIGHT_KG,fev_pct,dyspnea_description,distance_in_meters,hospital
Madison Mcneil,792-56-0120,Wolof,Designer multimedia,1.78,111.2,33.46,STOPS AFTER 100 YARDS,123.3,SAINT LOUIS UNIVERSITY
Chad Haney,210-28-4347,Walloon,Patent examiner,1.56,83.12,94.11,STOPS WHEN WALKING AT PACE,114.73,SAINT LOUIS UNIVERSITY
Ricky Watson,252-62-8813,Persian,Administrator education,1.66,98.64,55.92,WALKING UPHILL,129.22,ST.MARY'S
Steven Long,598-38-3439,Nepali,Ceramics designer,1.51,110.0,48.46,STOPS AFTER A FEW MINUTES,301.95,BJC
Jonathan Murray,421-12-6725,Xhosa,Chief Strategy Officer,1.69,88.7,95.63,ONLY STRENUOUS EXERCISE,323.87,MISSOURI BAPTIST
Jerry Ramirez,736-90-5773,Afrikaans,Equality and diversity officer,1.53,92.11,56.52,STOPS AFTER 100 YARDS,182.41,ST.MARY'S
Randy Wallace,356-83-3362,Kirghiz,Government social research officer,1.72,113.67,61.96,WHEN HURRYING,306.29,BJC
Nathan Gonzalez,208-47-5889,Uzbek,Land,1.74,94.89,78.52,STOPS AFTER 100 YARDS,305.83,SAINT LOUIS UNIVERSITY
Daniel Weiss,830-13-8099,Bulgarian,Art gallery manager,1.54,91.41,29.54,WALKING UPHILL,320.6,BJC
James Brewer,159-44-6613,Western Frisian,TEFL teacher,1.55,103.54,95.82,WHEN HURRYING,355.52,BJC WEST COUNTY
Heather Morgan,146-12-9201,Javanese,Airline pilot,1.75,89.62,70.93,SLOWER THAN PEERS,225.92,ST.LUKE'S
Charles Edwards,383-49-0065,Fijian,Building services engineer,1.53,117.55,38.02,WALKING UPHILL,146.19,SAINT LOUIS UNIVERSITY
Christina Lewis,624-62-9532,Chamorro,Theme park manager,1.75,116.88,44.47,WALKING UPHILL,163.25,ST.LUKE'S
Frank Riley,820-56-8976,Uzbek,IT technical support officer,1.72,78.2,91.55,BREATHLESS WHEN DRESSING,121.7,BJC WEST COUNTY
Rebecca Gomez,551-67-3556,Arabic,Hospital doctor,1.66,114.97,84.3,BREATHLESS WHEN DRESSING,245.25,BJC
Christopher Pruitt,042-87-0050,Fijian,Engineer civil (consulting),1.6,88.72,91.98,WHEN HURRYING,335.86,MISSOURI BAPTIST
Dr. Steven Williams DVM,779-78-9905,Quechua,Freight forwarder,1.8,78.61,68.61,STOPS AFTER A FEW MINUTES,55.77,BJC
Ryan Rush,229-13-8273,Sinhala,Scientist water quality,1.66,89.41,40.53,BREATHLESS WHEN DRESSING,13.3,SAINT LOUIS UNIVERSITY
Rhonda Carr,773-74-6194,Slovenian,Chiropractor,1.65,109.16,57.89,UNABLE TO LEAVE HOME,170.6,BJC
Miss Kimberly Rios MD,153-10-4329,Norwegian,Science writer,1.54,105.07,43.94,WHEN HURRYING,273.9,MISSOURI BAPTIST
Ashley Barton,833-47-9117,Javanese,Air traffic controller,1.71,80.48,30.53,WHEN HURRYING,112.94,BJC WEST COUNTY
Anna Grant,647-54-9966,Danish,Scientist research (life sciences),1.62,79.49,63.57,ONLY STRENUOUS EXERCISE,235.79,MISSOURI BAPTIST
Amanda Johnson,389-58-4008,Sundanese,Market researcher,1.55,105.15,51.8,STOPS WHEN WALKING AT PACE,321.29,MISSOURI BAPTIST
Emily Thomas,476-33-1495,Malay,Development worker international aid,1.69,90.83,66.14,STOPS AFTER 100 YARDS,77.35,MISSOURI BAPTIST
Christy Jones,826-01-7945,South Ndebele,Research scientist (life sciences),1.53,103.97,28.77,STOPS AFTER 100 YARDS,273.81,BJC
Danny Foster,669-97-3327,Limburgan,Information systems manager,1.66,105.49,77.71,WHEN HURRYING,94.05,MISSOURI BAPTIST
James Allen,100-64-3295,Serbian,Textile designer,1.71,82.08,42.29,SLOWER THAN PEERS,203.98,ST.MARY'S
Tyrone Jimenez,185-07-2763,Malayalam,Writer,1.71,82.73,38.03,BREATHLESS WHEN DRESSING,176.41,SAINT LOUIS UNIVERSITY
Cynthia Hopkins,430-36-3174,Aragonese,Public relations officer,1.63,98.44,58.3,WALKING UPHILL,351.82,BJC WEST COUNTY
Devon Wilcox,292-46-5459,Zulu,Magazine features editor,1.58,86.01,79.29,SLOWER THAN PEERS,338.67,ST.LUKE'S
John Farley,201-98-9781,Swahili,Scientist physiological,1.57,111.4,32.75,STOPS WHEN WALKING AT PACE,343.09,ST.MARY'S
Hector Arroyo,140-32-7001,Japanese,Amenity horticulturist,1.78,85.5,86.7,STOPS AFTER 100 YARDS,1.15,SAINT LOUIS UNIVERSITY
Brandon Thompson,421-87-0718,Fulah,Administrator sports,1.76,105.56,96.67,STOPS WHEN WALKING AT PACE,266.09,ST.LUKE'S
Scott Patel,511-06-8538,Zhuang,Orthoptist,1.77,79.41,36.84,STOPS AFTER A FEW MINUTES,316.3,BJC
Karen Bishop,177-74-8322,Italian,Designer graphic,1.63,116.4,36.83,SLOWER THAN PEERS,370.43,SAINT LOUIS UNIVERSITY
Tony Wheeler,658-54-5640,Kalaallisut,Chartered management accountant,1.67,104.87,43.56,ONLY STRENUOUS EXERCISE,219.56,ST.LUKE'S
Arthur Munoz,425-71-7186,Turkmen,Meteorologist,1.51,113.03,53.08,ONLY STRENUOUS EXERCISE,26.58,BJC
Edward Holloway,701-10-7672,Kanuri,Special educational needs teacher,1.57,80.78,43.92,STOPS AFTER 100 YARDS,221.97,BJC WEST COUNTY
Lisa Perry,680-56-1062,Spanish,Clothing/textile technologist,1.71,85.83,93.98,STOPS AFTER A FEW MINUTES,97.63,BJC WEST COUNTY
Pamela Green,146-77-3901,Gaelic,Engineer civil (contracting),1.73,98.56,48.78,BREATHLESS WHEN DRESSING,174.58,BJC
Kimberly Macdonald,687-28-4427,Haitian,Programmer multimedia,1.8,100.83,90.28,BREATHLESS WHEN DRESSING,109.69,ST.LUKE'S
Thomas Colon,321-13-9844,Italian,Surveyor rural practice,1.68,95.11,45.95,STOPS WHEN WALKING AT PACE,284.17,SAINT LOUIS UNIVERSITY
Paul Davis,697-55-6390,Avestan,Civil Service fast streamer,1.77,89.95,46.15,WHEN HURRYING,357.66,SAINT LOUIS UNIVERSITY
Ronnie Rush,568-55-9710,Tagalog,Engineer land,1.69,103.54,74.17,UNABLE TO LEAVE HOME,312.58,SAINT LOUIS UNIVERSITY
Erik Wilson,294-63-4325,Kanuri,Public house manager,1.7,84.65,62.05,SLOWER THAN PEERS,142.21,BJC WEST COUNTY
Crystal Clark,524-15-4664,Sango,Engineer petroleum,1.51,117.84,48.42,WHEN HURRYING,154.24,SAINT LOUIS UNIVERSITY
Megan Smith,293-43-8792,Ganda,Advertising account planner,1.6,94.05,30.61,BREATHLESS WHEN DRESSING,38.54,BJC WEST COUNTY
Jonathan Durham,303-32-6928,Malagasy,Dietitian,1.61,91.02,83.55,SLOWER THAN PEERS,345.32,BJC WEST COUNTY
Timothy Hawkins,890-61-0858,Arabic,Lawyer,1.52,81.09,67.33,ONLY STRENUOUS EXERCISE,376.35,MISSOURI BAPTIST
Christopher Perry,377-06-5009,Chichewa,Public relations officer,1.73,95.91,95.23,WHEN HURRYING,325.22,ST.MARY'S
Samuel Duke,037-88-3790,Javanese,Industrial buyer,1.74,106.28,80.89,STOPS AFTER 100 YARDS,165.24,MISSOURI BAPTIST
Kevin Mason,605-49-7887,Kurdish,Immigration officer,1.55,112.86,32.93,SLOWER THAN PEERS,16.42,BJC WEST COUNTY
Ian Clark,852-49-4666,Fijian,Maintenance engineer,1.56,117.62,99.7,UNABLE TO LEAVE HOME,172.88,BJC
Ryan Boyd,439-95-8748,Chinese,Software engineer,1.71,94.79,32.27,STOPS AFTER 100 YARDS,82.04,BJC WEST COUNTY
Valerie Calderon,134-17-9161,Guarani,Youth worker,1.78,102.3,61.33,SLOWER THAN PEERS,234.41,ST.MARY'S
Ryan Davis,440-31-1112,Chuvash,Psychologist sport and exercise,1.61,111.59,91.61,UNABLE TO LEAVE HOME,30.07,ST.LUKE'S
Sara Smith,548-23-7423,Malay,Engineer petroleum,1.7,110.96,88.25,WHEN HURRYING,378.99,BJC WEST COUNTY
Samuel Keith,882-65-4166,Tigrinya,Facilities manager,1.68,91.96,26.32,STOPS AFTER A FEW MINUTES,345.51,BJC
Renee White,078-11-4165,Hausa,Management consultant,1.68,87.45,27.11,ONLY STRENUOUS EXERCISE,342.9,ST.MARY'S
Heidi Johnson,726-53-4548,Inuktitut,Museum/gallery conservator,1.52,101.99,74.09,STOPS WHEN WALKING AT PACE,14.12,BJC WEST COUNTY
Tara Walker,030-49-6419,Georgian,Water quality scientist,1.65,91.58,42.29,SLOWER THAN PEERS,84.04,ST.MARY'S
Nathan Lee,047-60-3238,Burmese,Immigration officer,1.74,89.99,38.55,WALKING UPHILL,377.66,ST.MARY'S
Victor Reyes,066-17-1202,Hausa,Advice worker,1.62,98.57,60.02,STOPS WHEN WALKING AT PACE,321.32,ST.LUKE'S
Rebecca Jones,244-81-9837,Serbian,Copywriter advertising,1.74,94.8,57.0,SLOWER THAN PEERS,33.39,BJC WEST COUNTY
Susan Ryan,443-12-5840,Gujarati,Engineer petroleum,1.66,82.26,38.44,STOPS AFTER 100 YARDS,243.07,MISSOURI BAPTIST
Rachel Richmond,105-82-3191,Malay,Banker,1.6,101.41,82.09,SLOWER THAN PEERS,144.14,SAINT LOUIS UNIVERSITY
Leslie Smith,788-25-8399,Maltese,Engineer site,1.53,93.65,70.86,BREATHLESS WHEN DRESSING,331.34,SAINT LOUIS UNIVERSITY
Jorge Williams,154-46-4119,Esperanto,Proofreader,1.63,86.92,56.75,WHEN HURRYING,57.32,SAINT LOUIS UNIVERSITY
Kelly Lewis,736-39-3462,Ido,Ecologist,1.7,93.7,86.41,WALKING UPHILL,311.61,ST.MARY'S
Mathew Welch,058-42-8247,Lao,Engineer aeronautical,1.59,112.38,38.8,WALKING UPHILL,318.6,ST.MARY'S
Lauren Burns,571-17-2976,Sundanese,Scientist research (maths),1.62,96.28,49.46,ONLY STRENUOUS EXERCISE,346.03,SAINT LOUIS UNIVERSITY
Margaret Beasley,337-23-8680,Breton,Clothing/textile technologist,1.71,88.35,71.84,BREATHLESS WHEN DRESSING,80.04,MISSOURI BAPTIST
Patricia Gordon,173-93-3348,Telugu,Embryologist clinical,1.6,81.82,62.1,STOPS WHEN WALKING AT PACE,336.16,BJC WEST COUNTY
Martha Richardson,514-63-1551,Venda,Financial risk analyst,1.76,89.0,59.73,WALKING UPHILL,395.27,BJC WEST COUNTY
Heather Yates,820-97-5074,Bihari languages,Civil Service administrator,1.74,84.93,71.39,STOPS AFTER A FEW MINUTES,165.12,BJC WEST COUNTY
Mark Pearson,421-91-0510,Shona,Consulting civil engineer,1.75,78.79,89.73,WHEN HURRYING,246.51,SAINT LOUIS UNIVERSITY
Melanie Rollins,803-04-9618,Venda,Optometrist,1.55,104.73,55.01,WHEN HURRYING,116.45,MISSOURI BAPTIST
Darren Mosley,329-72-6817,South Ndebele,Materials engineer,1.5,81.02,58.22,WALKING UPHILL,317.71,BJC WEST COUNTY
Kelly Smith,737-28-1097,Romansh,Barrister's clerk,1.73,112.03,99.62,WALKING UPHILL,182.89,SAINT LOUIS UNIVERSITY
Teresa Morton,555-13-6037,Kurdish,Race relations officer,1.72,84.91,93.77,SLOWER THAN PEERS,189.39,ST.MARY'S
Eric Hess,761-26-4185,Bashkir,Podiatrist,1.71,86.58,75.93,STOPS AFTER 100 YARDS,139.06,SAINT LOUIS UNIVERSITY
Mary Ramirez,717-94-4575,Javanese,Multimedia programmer,1.69,117.55,45.2,STOPS WHEN WALKING AT PACE,44.86,MISSOURI BAPTIST
Michael Gilbert,699-82-6309,Thai,Health and safety adviser,1.79,83.42,65.42,STOPS WHEN WALKING AT PACE,26.76,ST.MARY'S
Daniel Moody,024-42-8320,Nepali,Equities trader,1.51,99.81,74.86,BREATHLESS WHEN DRESSING,30.69,MISSOURI BAPTIST
Pamela Moore,427-01-8172,Tsonga,Geographical information systems officer,1.75,85.04,48.39,STOPS WHEN WALKING AT PACE,42.09,SAINT LOUIS UNIVERSITY
John Spence,646-15-5764,Inupiaq,Magazine journalist,1.77,105.47,68.67,STOPS AFTER A FEW MINUTES,275.05,BJC WEST COUNTY
Sandra Hancock,467-78-3554,Basque,Solicitor Scotland,1.5,93.08,88.75,BREATHLESS WHEN DRESSING,89.53,MISSOURI BAPTIST
James Anderson,039-25-4268,Sundanese,Optician dispensing,1.77,102.14,41.03,WALKING UPHILL,348.36,BJC
Pamela Hamilton,599-44-7994,Chinese,Health and safety inspector,1.56,83.07,70.2,ONLY STRENUOUS EXERCISE,191.63,BJC
Brenda Johnson,519-23-6805,Norwegian Nynorsk,Trade union research officer,1.67,92.58,68.92,SLOWER THAN PEERS,205.72,MISSOURI BAPTIST
Melissa Hernandez,842-57-7824,Pushto,Database administrator,1.71,97.61,78.7,WALKING UPHILL,213.21,SAINT LOUIS UNIVERSITY
Barry Fisher,347-20-3353,Malay,Osteopath,1.69,85.74,59.75,STOPS AFTER 100 YARDS,380.49,ST.MARY'S
Samuel Pruitt,488-72-7118,Belarusian,Local government officer,1.67,86.19,87.42,STOPS WHEN WALKING AT PACE,353.69,BJC WEST COUNTY
Theresa Barnes,018-17-3849,Hindi,Fast food restaurant manager,1.75,89.79,83.85,UNABLE TO LEAVE HOME,58.85,BJC WEST COUNTY
Chase Hamilton,223-69-4757,Luba-Katanga,Chemist analytical,1.64,102.07,60.14,UNABLE TO LEAVE HOME,162.86,BJC
Joshua Villa,255-90-9775,Georgian,Quality manager,1.76,103.76,96.94,UNABLE TO LEAVE HOME,89.12,BJC
Carol Ramirez,727-25-1218,Faroese,Pharmacist hospital,1.58,106.45,62.9,WALKING UPHILL,378.99,BJC WEST COUNTY
Stacy Olsen,166-26-5166,Chechen,Tourist information centre manager,1.59,90.22,27.65,STOPS AFTER A FEW MINUTES,30.49,BJC
Samantha Pena,019-05-8765,Romansh,Engineer mining,1.75,78.83,88.59,SLOWER THAN PEERS,303.19,BJC
Corey Cook,603-79-2881,Chuvash,Herpetologist,1.61,98.45,46.35,STOPS AFTER 100 YARDS,288.37,ST.MARY'S
Mrs. Brittany Flynn,059-51-4557,Chuvash,Engineer maintenance (IT),1.71,84.87,51.04,ONLY STRENUOUS EXERCISE,103.74,BJC
Allen Nicholson,140-66-4709,Walloon,Advertising account planner,1.69,112.93,40.19,STOPS AFTER 100 YARDS,91.01,ST.MARY'S
Robert Snow,287-85-8259,Tswana,Government social research officer,1.58,117.18,79.01,BREATHLESS WHEN DRESSING,340.49,MISSOURI BAPTIST
James Wallace,654-23-4043,Oriya,Surveyor minerals,1.72,108.76,27.46,WALKING UPHILL,30.87,ST.MARY'S
Francisco Fernandez,110-22-1674,Persian,Air traffic controller,1.8,99.85,80.31,UNABLE TO LEAVE HOME,199.2,ST.MARY'S
Wyatt Baird,842-85-6539,Assamese,Ranger/warden,1.71,89.46,50.0,STOPS AFTER A FEW MINUTES,228.57,BJC WEST COUNTY
Randy Johnson,287-80-6540,Corsican,Engineer technical sales,1.64,116.81,68.83,WHEN HURRYING,179.32,BJC WEST COUNTY
Maria Paul,103-13-0212,Samoan,Planning and development surveyor,1.58,95.55,47.98,WALKING UPHILL,285.08,BJC WEST COUNTY
Kent Carr,105-79-3069,Dutch,Records manager,1.51,83.63,96.46,WALKING UPHILL,239.42,ST.MARY'S
Mark Thomas,772-35-6022,Catalan,Engineer electrical,1.63,87.59,86.84,UNABLE TO LEAVE HOME,3.93,ST.MARY'S
Danielle Peterson,764-97-9720,French,Personal assistant,1.8,91.17,47.18,UNABLE TO LEAVE HOME,284.24,ST.MARY'S
Jason Pratt,317-04-0770,Sotho Southern,Programmer multimedia,1.68,98.24,71.22,STOPS WHEN WALKING AT PACE,60.84,BJC WEST COUNTY
Melissa Mcclain,698-34-9066,Igbo,Homeopath,1.75,89.02,35.9,SLOWER THAN PEERS,72.25,MISSOURI BAPTIST
Jacqueline Blankenship,682-41-3069,Western Frisian,Museum/gallery conservator,1.71,89.7,60.3,ONLY STRENUOUS EXERCISE,75.99,MISSOURI BAPTIST
Michael Nicholson,200-89-4214,Lingala,Environmental consultant,1.67,92.23,64.33,WALKING UPHILL,65.9,ST.LUKE'S
Kathryn Hill,854-67-5190,Chamorro,Medical technical officer,1.65,87.42,28.97,STOPS AFTER A FEW MINUTES,181.06,ST.LUKE'S
Timothy Coleman,888-75-3973,Sanskrit,Programme researcher broadcasting/film/video,1.68,115.07,48.38,STOPS AFTER 100 YARDS,303.89,ST.LUKE'S
Troy Johnson,064-93-8523,Maori,Engineer energy,1.74,96.85,36.29,STOPS AFTER 100 YARDS,107.96,BJC
Joseph Mathis,269-76-7429,Esperanto,Information officer,1.54,116.73,98.84,WHEN HURRYING,234.43,MISSOURI BAPTIST
Jeffrey Lopez,546-57-3919,Sichuan Yi,Legal secretary,1.51,80.22,75.29,UNABLE TO LEAVE HOME,267.27,BJC WEST COUNTY
Kimberly Hill,459-14-4924,Sichuan Yi,Surveyor rural practice,1.76,109.38,72.59,STOPS WHEN WALKING AT PACE,224.78,ST.MARY'S
Barbara Smith,397-14-3303,Luba-Katanga,Armed forces operational officer,1.6,116.36,87.85,BREATHLESS WHEN DRESSING,313.69,BJC WEST COUNTY
Robert Quinn,825-61-1611,Chichewa,Herpetologist,1.77,78.08,45.32,ONLY STRENUOUS EXERCISE,90.78,BJC WEST COUNTY
Jeremy Garrison,565-31-5635,Interlingua,Clinical psychologist,1.74,107.58,82.52,STOPS WHEN WALKING AT PACE,214.81,BJC WEST COUNTY
Michael Davis,318-12-6583,Kuanyama,Petroleum engineer,1.52,99.04,41.06,BREATHLESS WHEN DRESSING,146.89,SAINT LOUIS UNIVERSITY
Natalie Richmond,545-37-6618,Ewe,Landscape architect,1.57,113.61,91.13,WALKING UPHILL,374.46,MISSOURI BAPTIST
Jamie Hughes,667-02-8827,Amharic,Insurance risk surveyor,1.57,79.0,61.56,STOPS AFTER A FEW MINUTES,252.85,SAINT LOUIS UNIVERSITY
Jeffrey Jordan,298-76-8683,Ndonga,Designer multimedia,1.63,78.39,92.75,UNABLE TO LEAVE HOME,209.95,MISSOURI BAPTIST
Raven Sexton,142-90-4620,Basque,Geologist engineering,1.77,81.71,77.41,WALKING UPHILL,67.8,BJC
Tim Lynch,497-40-9509,Malay,Geologist wellsite,1.51,102.47,43.72,BREATHLESS WHEN DRESSING,204.18,BJC
Joy Davis,314-47-3202,Dutch,Facilities manager,1.73,113.96,58.91,WHEN HURRYING,50.2,ST.MARY'S
James Grimes,175-57-8188,Kanuri,Psychiatrist,1.78,99.22,40.15,UNABLE TO LEAVE HOME,370.25,ST.LUKE'S
Barry Williams,604-09-7192,Norwegian,Analytical chemist,1.6,105.91,54.36,SLOWER THAN PEERS,88.01,SAINT LOUIS UNIVERSITY
Kathryn Nelson,556-79-2816,Ossetian,Radio broadcast assistant,1.78,81.93,80.75,WALKING UPHILL,302.1,MISSOURI BAPTIST
David Ramirez,360-11-4136,Navajo,Gaffer,1.69,79.41,47.31,WHEN HURRYING,207.8,BJC WEST COUNTY
Linda Oconnor,886-54-6661,Assamese,Aeronautical engineer,1.59,107.92,42.52,STOPS WHEN WALKING AT PACE,18.01,BJC WEST COUNTY
Christopher Huang,516-97-3862,Uzbek,Engineer control and instrumentation,1.61,94.69,67.33,BREATHLESS WHEN DRESSING,104.98,ST.MARY'S
Anthony Gray,723-88-8791,Hiri Motu,Technical brewer,1.62,85.48,62.43,WHEN HURRYING,218.63,SAINT LOUIS UNIVERSITY
Christopher Phillips,840-57-2038,Maltese,Magazine journalist,1.77,83.05,59.62,WHEN HURRYING,346.85,BJC WEST COUNTY
Victoria West,560-58-6165,Marshallese,Engineer energy,1.51,106.27,40.53,WHEN HURRYING,128.0,MISSOURI BAPTIST
Teresa Mendoza,888-48-2868,Church Slavic,Theatre stage manager,1.57,112.12,61.75,BREATHLESS WHEN DRESSING,76.47,SAINT LOUIS UNIVERSITY
Jason Brown,831-31-6521,Bihari languages,Environmental education officer,1.56,114.53,98.55,WALKING UPHILL,187.83,BJC WEST COUNTY
Heidi Campbell,204-79-4594,Kikuyu,Occupational psychologist,1.77,97.29,87.53,SLOWER THAN PEERS,273.4,MISSOURI BAPTIST
Samantha Salazar,076-65-6397,Vietnamese,Theme park manager,1.57,79.29,42.7,STOPS AFTER A FEW MINUTES,286.63,ST.LUKE'S
Melinda Hernandez,268-13-5745,Belarusian,Designer jewellery,1.6,85.12,91.43,STOPS WHEN WALKING AT PACE,84.07,BJC
Rebecca Washington,457-63-0736,Mongolian,Designer exhibition/display,1.73,96.92,62.59,ONLY STRENUOUS EXERCISE,88.82,BJC
Joshua Skinner,565-18-2529,Hiri Motu,Osteopath,1.55,91.72,75.71,WALKING UPHILL,283.93,ST.LUKE'S
Sean Robertson,003-81-3588,Ganda,Training and development officer,1.54,96.18,95.43,BREATHLESS WHEN DRESSING,65.36,BJC WEST COUNTY
Justin Jones,646-94-5459,Latvian,Media planner,1.57,85.18,53.46,STOPS AFTER 100 YARDS,66.31,BJC WEST COUNTY
Brandon Casey,329-03-5338,Bosnian,Catering manager,1.8,106.09,51.94,WHEN HURRYING,204.01,MISSOURI BAPTIST
Jill Hancock,814-27-5330,Chechen,Sports administrator,1.6,106.77,69.14,STOPS AFTER 100 YARDS,226.81,MISSOURI BAPTIST
Nicole Hart,186-02-2664,Greek,Embryologist clinical,1.71,99.17,26.37,STOPS AFTER 100 YARDS,320.94,ST.LUKE'S
Todd Rogers,639-65-3758,Chichewa,Lobbyist,1.59,96.74,76.04,ONLY STRENUOUS EXERCISE,169.64,SAINT LOUIS UNIVERSITY
Raymond Harding,124-01-9032,Serbian,Medical illustrator,1.5,88.58,28.93,BREATHLESS WHEN DRESSING,361.84,BJC
Steven House,142-14-6634,Cornish,Risk manager,1.79,89.48,99.98,WHEN HURRYING,215.18,ST.MARY'S
Danielle Holmes,371-38-1601,Nauru,Paramedic,1.62,78.44,70.43,STOPS AFTER A FEW MINUTES,348.04,MISSOURI BAPTIST
Tina Wilson,462-99-7187,Lithuanian,Secretary company,1.75,82.21,78.66,ONLY STRENUOUS EXERCISE,101.25,ST.LUKE'S
Lindsey Jones,380-04-2571,Sinhala,Cabin crew,1.54,104.6,41.14,ONLY STRENUOUS EXERCISE,64.1,BJC
Samantha Martinez,338-30-3712,Albanian,Surgeon,1.51,102.22,82.54,STOPS WHEN WALKING AT PACE,380.4,BJC
Gregory Mejia,724-62-2555,Marshallese,Scientist physiological,1.65,109.36,81.72,ONLY STRENUOUS EXERCISE,311.7,BJC
Tonya Craig,783-08-5949,Kannada,Interpreter,1.62,100.55,85.69,STOPS AFTER A FEW MINUTES,240.52,ST.LUKE'S
Jacqueline Guzman,512-05-9104,Norwegian,Psychotherapist,1.53,116.24,95.7,WALKING UPHILL,395.92,ST.MARY'S
Thomas Santiago,051-73-1940,Tagalog,Marketing executive,1.78,111.07,87.89,BREATHLESS WHEN DRESSING,88.52,BJC WEST COUNTY
Dawn Wright,659-63-3948,Northern Sami,Tax inspector,1.52,106.41,35.74,WHEN HURRYING,306.19,SAINT LOUIS UNIVERSITY
Eric Walters,381-13-0971,Sardinian,Biochemist clinical,1.57,104.78,77.94,STOPS AFTER A FEW MINUTES,330.05,ST.LUKE'S
Matthew Brown,766-31-3381,Yoruba,Meteorologist,1.73,93.76,25.67,STOPS WHEN WALKING AT PACE,131.85,ST.LUKE'S
Derek Travis,524-99-6211,Sardinian,Surveyor hydrographic,1.75,82.11,31.65,UNABLE TO LEAVE HOME,84.97,ST.MARY'S
Jessica Jackson,037-02-5921,Kikuyu,Set designer,1.65,95.57,65.77,UNABLE TO LEAVE HOME,57.87,SAINT LOUIS UNIVERSITY
Laura Robertson,308-66-9643,Burmese,Visual merchandiser,1.61,95.02,58.13,ONLY STRENUOUS EXERCISE,48.8,BJC WEST COUNTY
Briana Cooper,783-08-8820,Sango,Prison officer,1.68,96.34,38.96,STOPS AFTER 100 YARDS,169.74,ST.LUKE'S
Debra Bennett,329-72-6914,Herero,Geophysical data processor,1.64,100.03,32.04,WALKING UPHILL,319.64,BJC WEST COUNTY
Marissa Webb,688-14-3491,Romansh,Nurse mental health,1.52,117.85,83.15,WHEN HURRYING,124.47,SAINT LOUIS UNIVERSITY
Patricia Maldonado,754-67-6395,Irish,Conservation officer nature,1.79,115.81,52.36,STOPS AFTER A FEW MINUTES,25.24,MISSOURI BAPTIST
Misty Roth DDS,307-02-6478,Malagasy,Optician dispensing,1.54,116.54,43.98,WHEN HURRYING,37.36,ST.LUKE'S
Dawn Johnson,770-14-0625,Herero,Recycling officer,1.75,99.67,26.94,SLOWER THAN PEERS,260.12,SAINT LOUIS UNIVERSITY
Jacob Haley,134-18-0419,Herero,Computer games developer,1.63,104.0,42.01,WHEN HURRYING,213.08,MISSOURI BAPTIST
Olivia Williams,822-48-9071,Lao,Accommodation manager,1.73,108.41,40.13,ONLY STRENUOUS EXERCISE,130.24,BJC WEST COUNTY
Clifford Peterson,671-21-4991,Inuktitut,Biomedical scientist,1.56,101.21,29.91,SLOWER THAN PEERS,83.58,BJC
Natalie Morales,295-72-7563,French,Aid worker,1.64,107.13,65.57,STOPS WHEN WALKING AT PACE,137.46,ST.MARY'S
Robert Hicks,259-10-1159,Croatian,Warehouse manager,1.78,113.5,91.33,ONLY STRENUOUS EXERCISE,48.21,BJC WEST COUNTY
Adrienne Hutchinson,876-98-3378,Haitian,Government social research officer,1.62,78.13,99.65,STOPS AFTER A FEW MINUTES,80.49,SAINT LOUIS UNIVERSITY
Perry Rice,644-92-9885,Fulah,Armed forces technical officer,1.57,80.62,97.63,WHEN HURRYING,177.63,SAINT LOUIS UNIVERSITY
Zachary Tyler,120-73-1902,Fulah,Furniture conservator/restorer,1.7,108.01,59.18,ONLY STRENUOUS EXERCISE,187.82,ST.MARY'S
Brittany Roberts,443-34-5315,Kinyarwanda,Runner broadcasting/film/video,1.56,103.68,38.91,WHEN HURRYING,199.08,BJC
Victoria Phelps,815-75-8204,Sichuan Yi,Dance movement psychotherapist,1.61,97.14,74.84,BREATHLESS WHEN DRESSING,149.5,ST.MARY'S
Tiffany Aguilar,391-82-3563,Chichewa,Armed forces technical officer,1.7,107.32,28.2,STOPS AFTER 100 YARDS,357.06,BJC WEST COUNTY
Brent Kennedy,732-46-5963,Danish,Charity fundraiser,1.62,94.11,54.71,STOPS AFTER 100 YARDS,278.39,ST.MARY'S
Erica Johnson,697-89-8237,Kanuri,Fitness centre manager,1.64,96.36,74.2,STOPS WHEN WALKING AT PACE,162.16,SAINT LOUIS UNIVERSITY
Jamie Powell,854-13-9624,Javanese,Runner broadcasting/film/video,1.62,103.9,100.0,STOPS AFTER A FEW MINUTES,259.93,ST.MARY'S
Linda Anderson,639-63-2947,Arabic,Prison officer,1.72,96.79,96.17,WALKING UPHILL,277.42,ST.MARY'S
Emily Daniel,672-20-5775,Greek,Psychotherapist child,1.61,84.54,80.73,ONLY STRENUOUS EXERCISE,322.42,BJC WEST COUNTY
Eric Vasquez,520-66-4890,Kashmiri,Architect,1.52,100.88,58.83,STOPS AFTER A FEW MINUTES,218.49,ST.MARY'S
Crystal Kim,062-88-0622,Armenian,Manufacturing engineer,1.62,93.75,40.79,SLOWER THAN PEERS,214.65,SAINT LOUIS UNIVERSITY
Kristen Olson,431-41-2261,Macedonian,Contractor,1.71,93.71,25.02,STOPS AFTER A FEW MINUTES,63.29,BJC
Mark Dawson,484-10-3251,Bambara,Teacher secondary school,1.62,100.7,48.37,STOPS AFTER 100 YARDS,273.74,BJC WEST COUNTY
Darren Velez,436-41-3121,Ndonga,Designer television/film set,1.78,113.26,36.63,UNABLE TO LEAVE HOME,78.96,ST.LUKE'S
